BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,ID,InteriorColorText,Km,MakeText,ModelText,Properties,Seats,TransmissionTypeText
schwarz,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,3,2009,Benzin,700,570.0,schwarz,29500,AUDI,RS6,"\"Ab MFK\"",5,Automat
silber,SUV / Geländewagen,4921,Zuzwil,332 g/km,Occasion,G,12.3 l/100km,5,Allrad,11,2003,Diesel,313,845.0,schwarz,117800,VW,TOUAREG,"\"Ab MFK\"",5,Automat
blau mét.,Limousine,5998,Zuzwil,334 g/km,Occasion,G,13.9 l/100km,4,Allrad,7,2004,Benzin,450,186.0,schwarz,49000,AUDI,A8,"\"Ab MFK\"",5,Automat sequentiell
grau,Limousine,4196,Zuzwil,314 g/km,Occasion,G,12.5 l/100km,4,Hinterradantrieb,7,2002,Benzin,396,247.0,schwarz,32900,JAGUAR,S-TYPE,"\"Ab MFK\"",5,Automat
grün mét.,Coupé,3208,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,1,1977,Benzin,200,413.0,mehrfarbig,128600,BMW,633,"\"Ab MFK\"",4,Automatik-Getriebe
blau,Kombi,2671,Zuzwil,274 g/km,Occasion,null,11.4 l/100km,5,Allrad,7,2000,Benzin,265,45.0,grau,185900,AUDI,S4,"\"Ab MFK\"",5,Schaltgetriebe manuell
schwarz,Coupé,4282,Zuzwil,358 g/km,Occasion,G,15.0 l/100km,2,Hinterradantrieb,2,2007,Benzin,385,595.0,schwarz,35500,ASTON MARTIN,V8 Vantage,"\"Ab MFK\"",2,Schaltgetriebe manuell
silber mét.,Limousine,4398,Zuzwil,390 g/km,Occasion,G,19.9 l/100km,4,Hinterradantrieb,4,2000,Benzin,354,871.0,beige,42300,BENTLEY,ARNAGE,"\"Ab MFK\"",5,Automat
silber mét.,Cabriolet,5956,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1991,Benzin,380,926.0,blau,98000,MERCEDES-BENZ,SL 500,"\"Ab MFK\"",4,Automatik-Getriebe
weiss mét.,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,3,2004,Benzin,450,1153.0,schwarz,55000,AUDI,RS6,"\"Ab MFK\"",5,Automat sequentiell
anthrazit mét.,Limousine,5981,Zuzwil,355 g/km,Occasion,G,14.8 l/100km,4,Hinterradantrieb,6,2006,Benzin,612,34.0,schwarz,97300,MERCEDES-BENZ,S 65 AMG,"\"Ab MFK\"",5,Automat sequentiell
rot,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,9,2003,Benzin,450,453.0,beige,47000,AUDI,RS6,"\"Ab MFK\"",5,Automat sequentiell
silber mét.,Coupé,6192,Porrentruy,500 g/km,Occasion,G,21.5 l/100km,2,Allrad,2,2003,Benzin,580,1058.0,null,9000,LAMBORGHINI,MURCIÉLAGO,"\"Ab MFK\"",2,Schaltgetriebe manuell
silber mét.,Coupé,5998,St. Gallen,338 g/km,Occasion,G,14.5 l/100km,2,Allrad,9,2015,Benzin,635,1070.0,schwarz,5000,BENTLEY,CONTINENTAL,"\"Ab MFK\"",4,Automat
blau mét.,Cabriolet,3246,Zuzwil,328 g/km,Occasion,G,13.6 l/100km,2,Hinterradantrieb,3,2002,Benzin,343,189.0,schwarz,142000,BMW,M3,"\"Ab MFK\"",4,Automatisiertes Schaltgetriebe
grau mét.,Limousine,4966,Zuzwil,276 g/km,Occasion,G,11.5 l/100km,4,Hinterradantrieb,5,2003,Benzin,306,340.0,beige,29200,MERCEDES-BENZ,E 500,"\"Ab MFK\"",5,Automat sequentiell
schwarz,Limousine,4395,Zuzwil,252 g/km,Occasion,G,10.8 l/100km,4,Hinterradantrieb,6,2012,Benzin,507,596.0,schwarz,4950,BMW-ALPINA,5 SERIES,"\"Ab MFK\"",5,Automat sequentiell
schwarz mét.,Coupé,5981,Zuzwil,357 g/km,Occasion,G,14.9 l/100km,2,Hinterradantrieb,2,2004,Benzin,612,708.0,schwarz,48300,MERCEDES-BENZ,CL 65 AMG,"\"Ab MFK\"",4,Automat sequentiell
silber mét.,Limousine,5461,Zuzwil,286 g/km,Occasion,G,12.2 l/100km,4,Hinterradantrieb,2,2009,Benzin,388,878.0,beige,52000,MERCEDES-BENZ,S 500,"\"Ab MFK\"",5,Automat sequentiell
weiss mét.,Cabriolet,4966,Zuzwil,304 g/km,Occasion,G,12.7 l/100km,2,Hinterradantrieb,11,2001,Benzin,306,1145.0,anthrazit,15600,MERCEDES-BENZ,SL 500,"\"Ab MFK\"",2,Automat
grau mét.,Kleinwagen,0,Zuzwil,null,Oldtimer,null,null,0,null,4,1969,null,0,310.0,schwarz,45000,RENAULT,"","\"Ab MFK\"",0,Schaltgetriebe
schwarz,Limousine,4619,Zuzwil,355 g/km,Occasion,G,14.9 l/100km,4,Hinterradantrieb,10,1998,Benzin,347,586.0,schwarz,94400,BMW-ALPINA,5 SERIES,"\"Ab MFK\"",5,Automat
blau mét.,Limousine,4691,Zuzwil,365 g/km,Occasion,G,15.7 l/100km,4,Hinterradantrieb,2,2009,Benzin,431,151.0,beige,96000,MASERATI,QUATTROPORTE,"\"Ab MFK\", \"Direkt-/Parallelimport\"",5,Automat sequentiell
schwarz mét.,Limousine,5998,Zuzwil,374 g/km,Occasion,G,15.6 l/100km,4,Allrad,10,2002,Benzin,420,614.0,blau,50400,VW,PHAETON,"\"Ab MFK\"",4,Automat sequentiell
schwarz mét.,Coupé,2315,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,5,1979,Benzin,143,828.0,blau,157400,BMW,"",null,5,Schaltgetriebe
silber,Coupé,5935,Zuzwil,394 g/km,Occasion,G,16.5 l/100km,2,Hinterradantrieb,1,2005,Benzin,457,854.0,schwarz,40800,ASTON MARTIN,DB9,"\"Ab MFK\"",4,Automat sequentiell
silber mét.,Cabriolet,6498,Sursee,370 g/km,Occasion,G,16.0 l/100km,2,Allrad,1,2014,Benzin,700,990.0,schwarz,150,LAMBORGHINI,AVENTADOR,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe
silber mét.,Coupé,3246,Zuzwil,287 g/km,Occasion,G,11.9 l/100km,2,Hinterradantrieb,11,2003,Benzin,360,1061.0,null,35000,BMW,M3,"\"Ab MFK\"",5,Automatisiertes Schaltgetriebe
grau mét.,Coupé,2884,Zuzwil,null,Oldtimer,null,null,2,Hinterradantrieb,1,1927,Benzin,0,321.0,schwarz,1,FORD,"",null,2,Schaltgetriebe
anthrazit,SUV / Geländewagen,4806,Zuzwil,270 g/km,Occasion,G,11.5 l/100km,5,Allrad,1,2010,Benzin,500,5.0,schwarz,2900,PORSCHE,CAYENNE,"\"Ab MFK\"",5,Automat sequentiell
blau,Coupé,5474,Zuzwil,495 g/km,Occasion,G,22.0 l/100km,2,Hinterradantrieb,3,2000,Benzin,442,51.0,grau,46500,FERRARI,456,"\"Ab MFK\"",4,Schaltgetriebe manuell
schwarz mét.,Coupé,2788,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1996,Benzin,284,798.0,beige,40600,MASERATI,GHIBLI,"\"Ab MFK\"",5,Automat
schwarz mét.,Coupé,6208,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,2012,Benzin,517,815.0,schwarz,500,MERCEDES-BENZ,C 63 AMG,"\"Ab MFK\"",2,Automatik-Getriebe
silber mét.,Coupé,2995,Sursee,null,Occasion,null,null,2,Hinterradantrieb,5,1955,null,215,931.0,rot,5000,MERCEDES-BENZ,300,null,0,Schaltgetriebe
grün,Cabriolet,3246,Zuzwil,328 g/km,Occasion,null,13.6 l/100km,2,Hinterradantrieb,12,2002,Benzin,343,374.0,braun,52900,BMW,M3,"\"Ab MFK\"",4,Automatik-Getriebe
blau,Coupé,6192,Zuzwil,500 g/km,Occasion,G,21.5 l/100km,2,Allrad,5,2002,Benzin,580,46.0,schwarz,16000,LAMBORGHINI,MURCIÉLAGO,"\"Ab MFK\"",2,Schaltgetriebe manuell
rot,Cabriolet,4971,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1993,Benzin,320,486.0,grau,117900,MERCEDES-BENZ,SL 500,"\"Ab MFK\"",2,Automat
schwarz mét.,Limousine,4966,Zuzwil,290 g/km,Occasion,G,12.1 l/100km,4,Hinterradantrieb,1,2005,Benzin,306,624.0,schwarz,21300,MERCEDES-BENZ,CLS 500,"\"Ab MFK\"",4,Automat sequentiell
schwarz mét.,Coupé,1288,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,7,1973,Benzin,0,657.0,null,85000,RENAULT,Alpine A110,"\"Ab MFK\"",2,Schaltgetriebe
schwarz mét.,Sattelschlepper,3972,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1996,Diesel,105,678.0,null,65400,MERCEDES-BENZ,600-SERIES,null,2,Schaltgetriebe
silber mét.,Coupé,6162,Zuzwil,316 g/km,Occasion,G,13.3 l/100km,2,Hinterradantrieb,3,2008,Benzin,437,939.0,schwarz,33000,CHEVROLET,CORVETTE,"\"Ab MFK\"",2,Schaltgetriebe manuell
silber mét.,Coupé,2994,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1983,Benzin,204,984.0,schwarz,134000,PORSCHE,911,"\"Ab MFK\"",4,Schaltgetriebe
silber mét.,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Allrad,5,2001,Benzin,420,1031.0,blau,60800,PORSCHE,911,"\"Ab MFK\"",4,Schaltgetriebe manuell
