carType,city,color,condition,country,currency,drive,fuel_consumption_unit,make,manufacture_month,manufacture_year,mileage,mileage_unit,modal,modal_variant,price_on_request,targetData,target_city,target_color,target_make,type,zip
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",3.0,Limousine,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",M5,Limousine,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",535,Limousine,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",2002,Limousine,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",323,Coupé,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",M5,Limousine,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",540,Limousine,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",335,Cabriolet,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",750,Limousine,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",M6,Coupé,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",X5,SUV / Geländewagen,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",323,Cabriolet,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw,"","",0,"",330,Cabriolet,false,Match,Zuzwil,Black,BMW,car,""
"",Zuzwil,Black,"","","","","",Bmw-Alpina,"","",0,"",5 SERIES,Limousine,false,MisMatch,"","","",car,""
"",Zuzwil,Black,"","","","","",Bmw-Alpina,"","",0,"",5 SERIES,Limousine,false,MisMatch,"","","",car,""
"",Zuzwil,Black,"","","","","",Bmw-Alpina,"","",0,"",3 SERIES,Coupé,false,MisMatch,"","","",car,""
"",Zuzwil,Black,"","","","","",Bmw-Alpina,"","",0,"",5 SERIES,Limousine,false,MisMatch,"","","",car,""
