modal,modal_variant,city,color,make,mileage,mileage_unit,price_on_request,carType,condition,currency,drive,country,type,zip,manufacture_month,manufacture_year,fuel_consumption_unit
QUATTROPORTE,Limousine,Zuzwil,Black,Maserati,0,"",false,"","","","","",car,"","","",""
911,Coupé,Zuzwil,Black,Porsche,0,"",false,"","","","","",car,"","","",""
911,Coupé,Zuzwil,Black,Porsche,0,"",false,"","","","","",car,"","","",""
CL 65 AMG,Coupé,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
S 600,Limousine,Zuzwil,Silver,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
XK,Coupé,Zuzwil,White,Jaguar,0,"",false,"","","","","",car,"","","",""
SL 300,Cabriolet,Zuzwil,Other,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
"",Cabriolet,Safenwil,Gray,Austin-Healey,0,"",false,"","","","","",car,"","","",""
S 55 AMG,Limousine,Zuzwil,Gray,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
ML 63 AMG,SUV / Geländewagen,Zuzwil,Gray,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
323,Cabriolet,Zuzwil,Other,Bmw,0,"",false,"","","","","",car,"","","",""
DB9,Cabriolet,Zuzwil,Red,Aston Martin,0,"",false,"","","","","",car,"","","",""
911,Coupé,Zuzwil,Black,Porsche,0,"",false,"","","","","",car,"","","",""
CONTINENTAL,Cabriolet,Zuzwil,Black,Bentley,0,"",false,"","","","","",car,"","","",""
CL 63 AMG,Coupé,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
SL 65 AMG,Cabriolet,Zuzwil,Black,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
740,Limousine,Zuzwil,Black,Bmw,0,"",false,"","","","","",car,"","","",""
RS6,Kombi,Zuzwil,Silver,Audi,0,"",false,"","","","","",car,"","","",""
CELICA,Coupé,Zuzwil,Silver,Toyota,0,"",false,"","","","","",car,"","","",""
QUATTROPORTE,Limousine,Zuzwil,Blue,Maserati,0,"",false,"","","","","",car,"","","",""
Z4,Cabriolet,Zuzwil,Brown,Bmw,0,"",false,"","","","","",car,"","","",""
M6,Cabriolet,Zuzwil,Silver,Bmw,0,"",false,"","","","","",car,"","","",""
"",Coupé,Zuzwil,Blue,Mg,0,"",false,"","","","","",car,"","","",""
QUATTROPORTE,Limousine,Zuzwil,Gray,Maserati,0,"",false,"","","","","",car,"","","",""
QUATTROPORTE,Limousine,Zuzwil,Gray,Maserati,0,"",false,"","","","","",car,"","","",""
456,Coupé,Zuzwil,Gray,Ferrari,0,"",false,"","","","","",car,"","","",""
PHAETON,Limousine,Zuzwil,Red,Vw,0,"",false,"","","","","",car,"","","",""
CAYENNE,SUV / Geländewagen,Zuzwil,Silver,Porsche,0,"",false,"","","","","",car,"","","",""
E 55 AMG,Limousine,Zuzwil,Blue,Mercedes-Benz,0,"",false,"","","","","",car,"","","",""
"",Coupé,Zuzwil,Other,Simca,0,"",false,"","","","","",car,"","","",""
