make,model,city,color,carType,condition,currency,drive,country,mileage,mileage_unit,price_on_request,type,zip,manufacture_month,manufacture_year,fuel_consumption_unit
LAND ROVER,RANGE ROVER,Zuzwil,grey,"","","","","",0,"",false,car,"","","",""
FERRARI,MONDIAL,Zuzwil,grün,"","","","","",0,"",false,car,"","","",""
DODGE,VIPER,Zuzwil,red,"","","","","",0,"",false,car,"","","",""
LAMBORGHINI,DIABLO,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
PORSCHE,911,Zuzwil,blue,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,CL 500,Zuzwil,blue,"","","","","",0,"",false,car,"","","",""
RENAULT,ALPINE,Zuzwil,silver,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,CL 55 AMG,Zuzwil,silver,"","","","","",0,"",false,car,"","","",""
FORD,"",Zuzwil,silver,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,S 55 AMG,Zuzwil,blue,"","","","","",0,"",false,car,"","","",""
SUBARU,IMPREZA,Zuzwil,blue,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,CLS 63 AMG,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
CHEVROLET,CORVETTE,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,SL 55 AMG,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
PORSCHE,911,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,SL 500,Zuzwil,silver,"","","","","",0,"",false,car,"","","",""
AUDI,RS6,Zuzwil,anthrazit,"","","","","",0,"",false,car,"","","",""
PORSCHE,BOXSTER,Zuzwil,grey,"","","","","",0,"",false,car,"","","",""
LEXUS,GS,Zuzwil,grün,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,S 500,Zuzwil,white,"","","","","",0,"",false,car,"","","",""
MITSUBISHI,LANCER,Zuzwil,bordeaux,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,S 65 AMG,Zuzwil,grey,"","","","","",0,"",false,car,"","","",""
ASTON MARTIN,DBS,Zuzwil,grün,"","","","","",0,"",false,car,"","","",""
NISSAN,Skyline,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
LAND ROVER,RANGE ROVER,Zuzwil,silver,"","","","","",0,"",false,car,"","","",""
RENAULT,ALPINE,Zuzwil,silver,"","","","","",0,"",false,car,"","","",""
BMW-ALPINA,6 SERIES,Zuzwil,blue,"","","","","",0,"",false,car,"","","",""
MERCEDES-BENZ,SL 320,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
AUDI,A4,Zuzwil,black,"","","","","",0,"",false,car,"","","",""
ROLLS-ROYCE,CORNICHE,Zuzwil,silver,"","","","","",0,"",false,car,"","","",""
AUDI,A8,Zuzwil,white,"","","","","",0,"",false,car,"","","",""
MORGAN,4/4,Zuzwil,gelb,"","","","","",0,"",false,car,"","","",""
PORSCHE,CAYENNE,Zuzwil,grey,"","","","","",0,"",false,car,"","","",""
MASERATI,COUPÉ GT,Zuzwil,grey,"","","","","",0,"",false,car,"","","",""
