BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,ID,InteriorColorText,Km,MakeText,ModelText,Properties,Seats,TransmissionTypeText
Silver,Coupé,6192,Porrentruy,500 g/km,Occasion,G,21.5 l/100km,2,Allrad,2,2003,Benzin,580,1058.0,null,9000,Lamborghini,MURCIÉLAGO,"\"Ab MFK\"",2,Schaltgetriebe manuell
Silver,Coupé,5998,St. Gallen,338 g/km,Occasion,G,14.5 l/100km,2,Allrad,9,2015,Benzin,635,1070.0,schwarz,5000,Bentley,CONTINENTAL,"\"Ab MFK\"",4,Automat
Blue,Cabriolet,3246,Zuzwil,328 g/km,Occasion,G,13.6 l/100km,2,Hinterradantrieb,3,2002,Benzin,343,189.0,schwarz,142000,Bmw,M3,"\"Ab MFK\"",4,Automatisiertes Schaltgetriebe
Gray,Limousine,4966,Zuzwil,276 g/km,Occasion,G,11.5 l/100km,4,Hinterradantrieb,5,2003,Benzin,306,340.0,beige,29200,Mercedes-Benz,E 500,"\"Ab MFK\"",5,Automat sequentiell
Black,Limousine,4395,Zuzwil,252 g/km,Occasion,G,10.8 l/100km,4,Hinterradantrieb,6,2012,Benzin,507,596.0,schwarz,4950,Bmw-Alpina,5 SERIES,"\"Ab MFK\"",5,Automat sequentiell
Black,Coupé,5981,Zuzwil,357 g/km,Occasion,G,14.9 l/100km,2,Hinterradantrieb,2,2004,Benzin,612,708.0,schwarz,48300,Mercedes-Benz,CL 65 AMG,"\"Ab MFK\"",4,Automat sequentiell
Silver,Limousine,5461,Zuzwil,286 g/km,Occasion,G,12.2 l/100km,4,Hinterradantrieb,2,2009,Benzin,388,878.0,beige,52000,Mercedes-Benz,S 500,"\"Ab MFK\"",5,Automat sequentiell
White,Cabriolet,4966,Zuzwil,304 g/km,Occasion,G,12.7 l/100km,2,Hinterradantrieb,11,2001,Benzin,306,1145.0,anthrazit,15600,Mercedes-Benz,SL 500,"\"Ab MFK\"",2,Automat
Gray,Kleinwagen,0,Zuzwil,null,Oldtimer,null,null,0,null,4,1969,null,0,310.0,schwarz,45000,Renault,"","\"Ab MFK\"",0,Schaltgetriebe
Black,Limousine,4619,Zuzwil,355 g/km,Occasion,G,14.9 l/100km,4,Hinterradantrieb,10,1998,Benzin,347,586.0,schwarz,94400,Bmw-Alpina,5 SERIES,"\"Ab MFK\"",5,Automat
Blue,Limousine,4691,Zuzwil,365 g/km,Occasion,G,15.7 l/100km,4,Hinterradantrieb,2,2009,Benzin,431,151.0,beige,96000,Maserati,QUATTROPORTE,"\"Ab MFK\", \"Direkt-/Parallelimport\"",5,Automat sequentiell
Black,Limousine,5998,Zuzwil,374 g/km,Occasion,G,15.6 l/100km,4,Allrad,10,2002,Benzin,420,614.0,blau,50400,Vw,PHAETON,"\"Ab MFK\"",4,Automat sequentiell
Black,Coupé,2315,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,5,1979,Benzin,143,828.0,blau,157400,Bmw,"",null,5,Schaltgetriebe
Silver,Coupé,5935,Zuzwil,394 g/km,Occasion,G,16.5 l/100km,2,Hinterradantrieb,1,2005,Benzin,457,854.0,schwarz,40800,Aston Martin,DB9,"\"Ab MFK\"",4,Automat sequentiell
Silver,Cabriolet,6498,Sursee,370 g/km,Occasion,G,16.0 l/100km,2,Allrad,1,2014,Benzin,700,990.0,schwarz,150,Lamborghini,AVENTADOR,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe
Silver,Coupé,3246,Zuzwil,287 g/km,Occasion,G,11.9 l/100km,2,Hinterradantrieb,11,2003,Benzin,360,1061.0,null,35000,Bmw,M3,"\"Ab MFK\"",5,Automatisiertes Schaltgetriebe
Gray,Coupé,2884,Zuzwil,null,Oldtimer,null,null,2,Hinterradantrieb,1,1927,Benzin,0,321.0,schwarz,1,Ford,"",null,2,Schaltgetriebe
Blue,SUV / Geländewagen,4806,Zuzwil,270 g/km,Occasion,G,11.5 l/100km,5,Allrad,1,2010,Benzin,500,5.0,schwarz,2900,Porsche,CAYENNE,"\"Ab MFK\"",5,Automat sequentiell
Blue,Coupé,5474,Zuzwil,495 g/km,Occasion,G,22.0 l/100km,2,Hinterradantrieb,3,2000,Benzin,442,51.0,grau,46500,Ferrari,456,"\"Ab MFK\"",4,Schaltgetriebe manuell
Black,Coupé,2788,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1996,Benzin,284,798.0,beige,40600,Maserati,GHIBLI,"\"Ab MFK\"",5,Automat
Black,Coupé,6208,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,2012,Benzin,517,815.0,schwarz,500,Mercedes-Benz,C 63 AMG,"\"Ab MFK\"",2,Automatik-Getriebe
Silver,Coupé,2995,Sursee,null,Occasion,null,null,2,Hinterradantrieb,5,1955,null,215,931.0,rot,5000,Mercedes-Benz,300,null,0,Schaltgetriebe
Other,Cabriolet,3246,Zuzwil,328 g/km,Occasion,null,13.6 l/100km,2,Hinterradantrieb,12,2002,Benzin,343,374.0,braun,52900,Bmw,M3,"\"Ab MFK\"",4,Automatik-Getriebe
Blue,Coupé,6192,Zuzwil,500 g/km,Occasion,G,21.5 l/100km,2,Allrad,5,2002,Benzin,580,46.0,schwarz,16000,Lamborghini,MURCIÉLAGO,"\"Ab MFK\"",2,Schaltgetriebe manuell
Red,Cabriolet,4971,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1993,Benzin,320,486.0,grau,117900,Mercedes-Benz,SL 500,"\"Ab MFK\"",2,Automat
Black,Limousine,4966,Zuzwil,290 g/km,Occasion,G,12.1 l/100km,4,Hinterradantrieb,1,2005,Benzin,306,624.0,schwarz,21300,Mercedes-Benz,CLS 500,"\"Ab MFK\"",4,Automat sequentiell
Black,Coupé,1288,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,7,1973,Benzin,0,657.0,null,85000,Renault,Alpine A110,"\"Ab MFK\"",2,Schaltgetriebe
Black,Sattelschlepper,3972,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1996,Diesel,105,678.0,null,65400,Mercedes-Benz,600-SERIES,null,2,Schaltgetriebe
Silver,Coupé,6162,Zuzwil,316 g/km,Occasion,G,13.3 l/100km,2,Hinterradantrieb,3,2008,Benzin,437,939.0,schwarz,33000,Chevrolet,CORVETTE,"\"Ab MFK\"",2,Schaltgetriebe manuell
Silver,Coupé,2994,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1983,Benzin,204,984.0,schwarz,134000,Porsche,911,"\"Ab MFK\"",4,Schaltgetriebe
Silver,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Allrad,5,2001,Benzin,420,1031.0,blau,60800,Porsche,911,"\"Ab MFK\"",4,Schaltgetriebe manuell
White,Coupé,6496,Porrentruy,null,Occasion,G,null,2,Allrad,4,2008,Benzin,650,1152.0,grau,5900,Lamborghini,"","\"Ab MFK\"",2,Automatik-Getriebe
Blue,Coupé,3586,Porrentruy,440 g/km,Occasion,G,19.3 l/100km,2,Hinterradantrieb,11,2003,Benzin,400,124.0,bordeaux,42500,Ferrari,F360,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe
Gray,Limousine,4172,Zuzwil,310 g/km,Occasion,G,12.9 l/100km,4,Allrad,11,2003,Benzin,335,306.0,schwarz,119000,Vw,PHAETON,"\"Ab MFK\"",5,Automat sequentiell
Gray,SUV / Geländewagen,3530,Zuzwil,null,Occasion,null,null,5,Allrad,3,1989,Benzin,168,359.0,grau,151300,Land Rover,RANGE ROVER,null,5,Schaltgetriebe
Other,Coupé,3402,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,5,1992,Benzin,286,405.0,braun,56500,Ferrari,MONDIAL,"\"Ab MFK\"",4,Schaltgetriebe manuell
Red,Cabriolet,7990,Zuzwil,null,Occasion,null,null,3,Hinterradantrieb,12,2001,Benzin,800,451.0,schwarz,18600,Dodge,VIPER,"\"Ab MFK\", \"Tuning\"",2,Schaltgetriebe
Black,Coupé,5707,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,12,2000,Benzin,492,615.0,schwarz,20600,Lamborghini,DIABLO,"\"Ab MFK\"",2,Schaltgetriebe manuell
Blue,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Hinterradantrieb,12,2002,Benzin,462,62.0,schwarz,61300,Porsche,911,"\"Ab MFK\", \"Tuning\"",4,Schaltgetriebe manuell
Blue,Coupé,5461,Zuzwil,288 g/km,Occasion,G,12.3 l/100km,2,Hinterradantrieb,9,2006,Benzin,388,83.0,schwarz,15100,Mercedes-Benz,CL 500,"\"Ab MFK\"",4,Automat sequentiell
Silver,Coupé,2664,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,12,1981,Benzin,150,904.0,grau,139200,Renault,ALPINE,"\"Ab MFK\"",4,Schaltgetriebe manuell
Silver,Coupé,5439,Zuzwil,317 g/km,Occasion,G,13.2 l/100km,2,Hinterradantrieb,11,2002,Benzin,500,907.0,schwarz,48300,Mercedes-Benz,CL 55 AMG,"\"Ab MFK\"",4,Automat
Silver,Coupé,2100,Zuzwil,null,Occasion,null,null,2,Allrad,8,1986,Benzin,600,949.0,null,1000,Ford,"",null,2,Schaltgetriebe
Blue,Limousine,5439,Zuzwil,310 g/km,Occasion,G,13.0 l/100km,4,Hinterradantrieb,2,1999,Benzin,360,131.0,schwarz,96500,Mercedes-Benz,S 55 AMG,"\"Ab MFK\"",5,Automat
Blue,Limousine,2457,Zuzwil,244 g/km,Occasion,G,10.3 l/100km,4,Allrad,4,2006,Benzin,230,168.0,schwarz,161500,Subaru,IMPREZA,"\"Ab MFK\"",5,Schaltgetriebe manuell
Black,Limousine,5461,Zuzwil,231 g/km,Occasion,G,9.9 l/100km,4,Hinterradantrieb,9,2011,Benzin,525,542.0,beige,69200,Mercedes-Benz,CLS 63 AMG,"\"Ab MFK\"",4,Automatisiertes Schaltgetriebe
Black,Cabriolet,5730,Zuzwil,null,Occasion,null,13.1 l/100km,2,Hinterradantrieb,7,1994,Benzin,282,603.0,schwarz,68200,Chevrolet,CORVETTE,"\"Ab MFK\"",2,Automat
Black,Cabriolet,5439,Zuzwil,340 g/km,Occasion,G,14.2 l/100km,2,Hinterradantrieb,4,2002,Benzin,476,682.0,beige,31200,Mercedes-Benz,SL 55 AMG,"\"Ab MFK\"",2,Automat
Black,Cabriolet,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Allrad,4,2008,Benzin,480,726.0,braun,35500,Porsche,911,"\"Ab MFK\"",2,Schaltgetriebe manuell
Silver,Cabriolet,4973,Zuzwil,328 g/km,Occasion,null,14.3 l/100km,2,Hinterradantrieb,10,1996,Benzin,320,1054.0,schwarz,27600,Mercedes-Benz,SL 500,"\"Ab MFK\"",0,Automat
Blue,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,6,2008,Benzin,580,25.0,schwarz,32800,Audi,RS6,"\"Ab MFK\", \"Tuning\"",5,Automat sequentiell
Gray,Cabriolet,3179,Zuzwil,263 g/km,Occasion,G,10.7 l/100km,2,Hinterradantrieb,7,2000,Benzin,252,342.0,schwarz,51000,Porsche,BOXSTER,"\"Ab MFK\"",2,Schaltgetriebe manuell
Other,Limousine,3456,Zuzwil,186 g/km,Occasion,F,7.9 l/100km,4,Hinterradantrieb,7,2006,Benzin/Elektro,296,395.0,schwarz,34000,Lexus,GS,"\"Ab MFK\"",5,Automat stufenlos
White,Limousine,5461,Zuzwil,296 g/km,Occasion,G,12.6 l/100km,4,Allrad,11,2006,Benzin,388,1100.0,schwarz,62300,Mercedes-Benz,S 500,"\"Ab MFK\"",5,Automat sequentiell
Other,Limousine,1997,Zuzwil,null,Occasion,null,null,4,Allrad,7,2003,Benzin,280,195.0,schwarz,35200,Mitsubishi,LANCER,"\"Ab MFK\"",5,Schaltgetriebe manuell
Gray,Limousine,5981,Zuzwil,355 g/km,Occasion,G,14.8 l/100km,4,Hinterradantrieb,9,2006,Benzin,612,348.0,grau,130000,Mercedes-Benz,S 65 AMG,"\"Ab MFK\"",5,Automat sequentiell
Other,Cabriolet,5935,Zuzwil,388 g/km,Occasion,G,16.4 l/100km,2,Hinterradantrieb,4,2010,Benzin,517,393.0,schwarz,71300,Aston Martin,DBS,"\"Ab MFK\"",2,Automat sequentiell
Black,Coupé,2568,Zuzwil,null,Occasion,null,null,2,Allrad,1,2002,Benzin,800,703.0,null,15000,Nissan,Skyline,"\"Tuning\"",2,Schaltgetriebe
Silver,SUV / Geländewagen,4999,Zuzwil,348 g/km,Occasion,G,14.9 l/100km,5,Allrad,10,2010,Benzin,510,886.0,schwarz,9000,Land Rover,RANGE ROVER,"\"Ab MFK\"",5,Automat
Silver,Coupé,2962,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,6,1992,Benzin,250,897.0,anthrazit,71600,Renault,ALPINE,"\"Ab MFK\"",4,Schaltgetriebe manuell
Blue,Cabriolet,4398,Zuzwil,306 g/km,Occasion,G,12.8 l/100km,2,Hinterradantrieb,4,2007,Benzin,500,158.0,beige,66800,Bmw-Alpina,6 SERIES,"\"Ab MFK\"",4,Automat
Black,Cabriolet,3199,Zuzwil,317 g/km,Occasion,null,13.4 l/100km,2,Hinterradantrieb,1,1999,Benzin,231,556.0,schwarz,70900,Mercedes-Benz,SL 320,"\"Ab MFK\"",2,Automat
Black,Kombi,2976,Zuzwil,233 g/km,Occasion,null,9.7 l/100km,5,Vorderradantrieb,8,2002,Benzin,220,783.0,schwarz,101900,Audi,A4,"\"Ab MFK\"",5,Automatik-Getriebe
Silver,Cabriolet,6761,Zuzwil,456 g/km,Occasion,G,17.8 l/100km,2,Hinterradantrieb,6,2002,Benzin,329,913.0,beige,42000,Rolls-Royce,CORNICHE,"\"Ab MFK\"",4,Automat
White,Limousine,4172,Zuzwil,288 g/km,Occasion,G,12.0 l/100km,4,Allrad,9,2003,Benzin,335,1084.0,beige,101300,Audi,A8,"\"Ab MFK\"",5,Automat sequentiell
Yellow,Cabriolet,1796,Zuzwil,null,Occasion,G,7.7 l/100km,2,Hinterradantrieb,6,2006,Benzin,126,215.0,bordeaux,7100,Morgan,4/4,"\"Ab MFK\", \"Direkt-/Parallelimport\"",2,Schaltgetriebe manuell
Gray,SUV / Geländewagen,4806,Zuzwil,358 g/km,Occasion,G,14.9 l/100km,5,Allrad,8,2008,Benzin,500,264.0,braun,28000,Porsche,CAYENNE,"\"Ab MFK\"",5,Automat
Gray,Coupé,4244,Zuzwil,400 g/km,Occasion,G,17.5 l/100km,2,Hinterradantrieb,6,2002,Benzin,390,283.0,braun,114800,Maserati,COUPÉ GT,"\"Ab MFK\"",4,Automatisiertes Schaltgetriebe
Other,Cabriolet,5439,Zuzwil,340 g/km,Occasion,G,14.2 l/100km,2,Hinterradantrieb,5,2002,Benzin,476,423.0,anthrazit,33400,Mercedes-Benz,SL 55 AMG,"\"Ab MFK\"",2,Automat
Other,Cabriolet,6000,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,12,1992,Benzin,380,438.0,schwarz,89100,Mercedes-Benz,"","\"Ab MFK\"",4,Automatik-Getriebe
Red,Coupé,3600,Zuzwil,307 g/km,Occasion,null,12.8 l/100km,2,Allrad,7,2008,Benzin,480,442.0,schwarz,9650,Porsche,911,"\"Ab MFK\"",4,Automatik-Getriebe
Black,Cabriolet,5439,Zuzwil,null,Occasion,null,null,2,null,6,2008,null,582,740.0,schwarz,500,Mercedes-Benz,"","\"Ab MFK\"",4,null
Gray,Cabriolet,4973,Zuzwil,328 g/km,Occasion,null,14.3 l/100km,2,Hinterradantrieb,6,1997,Benzin,320,343.0,blau,106000,Mercedes-Benz,SL 500,"\"Ab MFK\"",2,Automat
Gray,Limousine,2143,Zuzwil,146 g/km,Occasion,C,5.5 l/100km,4,Hinterradantrieb,9,2011,Diesel,204,367.0,schwarz,43000,Mercedes-Benz,S 250,"\"Ab MFK\", \"Direkt-/Parallelimport\"",5,Automat sequentiell
