ID,MakeText,ModelText,BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Seats,TransmissionTypeText,color,extracted-value-ConsumptionTotalText,extracted-unit-ConsumptionTotalText
570.0,AUDI,RS6,schwarz,Kombi,4991,Zuzwil,333 g/km,Occasion,G,14.0 l/100km,5,Allrad,3,2009,Benzin,700,schwarz,29500,5,Automat,black,14.0,l/100km
845.0,VW,TOUAREG,silber,SUV / Geländewagen,4921,Zuzwil,332 g/km,Occasion,G,12.3 l/100km,5,Allrad,11,2003,Diesel,313,schwarz,117800,5,Automat,silver,12.3,l/100km
186.0,AUDI,A8,blau mét.,Limousine,5998,Zuzwil,334 g/km,Occasion,G,13.9 l/100km,4,Allrad,7,2004,Benzin,450,schwarz,49000,5,Automat sequentiell,blue,13.9,l/100km
247.0,JAGUAR,S-TYPE,grau,Limousine,4196,Zuzwil,314 g/km,Occasion,G,12.5 l/100km,4,Hinterradantrieb,7,2002,Benzin,396,schwarz,32900,5,Automat,grey,12.5,l/100km
413.0,BMW,633,grün mét.,Coupé,3208,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,1,1977,Benzin,200,mehrfarbig,128600,4,Automatik-Getriebe,grün,null,""
45.0,AUDI,S4,blau,Kombi,2671,Zuzwil,274 g/km,Occasion,null,11.4 l/100km,5,Allrad,7,2000,Benzin,265,grau,185900,5,Schaltgetriebe manuell,blue,11.4,l/100km
595.0,ASTON MARTIN,V8 Vantage,schwarz,Coupé,4282,Zuzwil,358 g/km,Occasion,G,15.0 l/100km,2,Hinterradantrieb,2,2007,Benzin,385,schwarz,35500,2,Schaltgetriebe manuell,black,15.0,l/100km
871.0,BENTLEY,ARNAGE,silber mét.,Limousine,4398,Zuzwil,390 g/km,Occasion,G,19.9 l/100km,4,Hinterradantrieb,4,2000,Benzin,354,beige,42300,5,Automat,silver,19.9,l/100km
926.0,MERCEDES-BENZ,SL 500,silber mét.,Cabriolet,5956,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,1991,Benzin,380,blau,98000,4,Automatik-Getriebe,silver,null,""
1153.0,AUDI,RS6,weiss mét.,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,3,2004,Benzin,450,schwarz,55000,5,Automat sequentiell,white,14.6,l/100km
34.0,MERCEDES-BENZ,S 65 AMG,anthrazit mét.,Limousine,5981,Zuzwil,355 g/km,Occasion,G,14.8 l/100km,4,Hinterradantrieb,6,2006,Benzin,612,schwarz,97300,5,Automat sequentiell,anthrazit,14.8,l/100km
453.0,AUDI,RS6,rot,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,9,2003,Benzin,450,beige,47000,5,Automat sequentiell,red,14.6,l/100km
1058.0,LAMBORGHINI,MURCIÉLAGO,silber mét.,Coupé,6192,Porrentruy,500 g/km,Occasion,G,21.5 l/100km,2,Allrad,2,2003,Benzin,580,null,9000,2,Schaltgetriebe manuell,silver,21.5,l/100km
1070.0,BENTLEY,CONTINENTAL,silber mét.,Coupé,5998,St. Gallen,338 g/km,Occasion,G,14.5 l/100km,2,Allrad,9,2015,Benzin,635,schwarz,5000,4,Automat,silver,14.5,l/100km
189.0,BMW,M3,blau mét.,Cabriolet,3246,Zuzwil,328 g/km,Occasion,G,13.6 l/100km,2,Hinterradantrieb,3,2002,Benzin,343,schwarz,142000,4,Automatisiertes Schaltgetriebe,blue,13.6,l/100km
340.0,MERCEDES-BENZ,E 500,grau mét.,Limousine,4966,Zuzwil,276 g/km,Occasion,G,11.5 l/100km,4,Hinterradantrieb,5,2003,Benzin,306,beige,29200,5,Automat sequentiell,grey,11.5,l/100km
596.0,BMW-ALPINA,5 SERIES,schwarz,Limousine,4395,Zuzwil,252 g/km,Occasion,G,10.8 l/100km,4,Hinterradantrieb,6,2012,Benzin,507,schwarz,4950,5,Automat sequentiell,black,10.8,l/100km
708.0,MERCEDES-BENZ,CL 65 AMG,schwarz mét.,Coupé,5981,Zuzwil,357 g/km,Occasion,G,14.9 l/100km,2,Hinterradantrieb,2,2004,Benzin,612,schwarz,48300,4,Automat sequentiell,black,14.9,l/100km
878.0,MERCEDES-BENZ,S 500,silber mét.,Limousine,5461,Zuzwil,286 g/km,Occasion,G,12.2 l/100km,4,Hinterradantrieb,2,2009,Benzin,388,beige,52000,5,Automat sequentiell,silver,12.2,l/100km
